name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cbc:FormatCode,0..1,CodeType,,,A code signifying the format of the external object.,
cbc:EncodingCode,0..1,CodeType,,,A code signifying the encoding/decoding algorithm used with the external object.,
cbc:CharacterSetCode,0..1,CodeType,,,A code signifying the character set of an external document.,
cbc:FileName,0..1,NameType,,,The file name of the external object.,
cbc:Description,0..n,TextType,,,Text describing the external object.,computer accessories for laptops 
cac:FinancialAccount,,,,,A class to describe a financial account.,
cbc:ID,0..1,IdentifierType,,,The identifier for this financial account; the bank account number.,SWIFT(BIC) and IBAN are defined in ISO 9362 and ISO 13616.
cbc:Name,0..1,NameType,,,The name of this financial account.,
cbc:AliasName,0..1,NameType,,,"An alias for the name of this financial account, to be used in place of the actual account name for security reasons.",
cbc:AccountTypeCode,0..1,CodeType,,,A code signifying the type of this financial account.,
cbc:AccountFormatCode,0..1,CodeType,,,A code signifying the format of this financial account.,ISO20022 Clearing System Identification Code
cbc:CurrencyCode,0..1,CodeType,,,A code signifying the currency in which this financial account is held.,JPY
cbc:PaymentNote,0..n,TextType,,,Free-form text applying to the Payment for the owner of this account.,
cac:FinancialInstitutionBranch,0..1,,Branch,,The branch of the financial institution associated with this financial account.,
cac:Country,0..1,,Country,,The country in which the holder of the financial account is domiciled.,
cac:FinancialGuarantee,,,,,A class to describe the bond guarantee of a tenderer or bid submitter's actual entry into a contract in the event that it is the successful bidder.,
cbc:GuaranteeTypeCode,1,CodeType,,,"A code signifying the type of financial guarantee. For instance ""Provisional Guarantee"" or ""Final Guarantee""",
cbc:Description,0..n,TextType,,,Text describing this financial guarantee.,
cbc:LiabilityAmount,0..1,AmountType,,,The amount of liability in this financial guarantee.,
cbc:AmountRate,0..1,RateType,,,The rate used to calculate the amount of liability in this financial guarantee.,
cac:ConstitutionPeriod,0..1,,Period,,The period during the tendering process to which this financial guarantee has to be settled.,
cac:FinancialInstitution,,,,,A class to describe a financial institution.,
cbc:ID,0..1,IdentifierType,,,An identifier for this financial institution. It is recommended that the ISO 9362 Bank Identification Code (BIC) be used as the ID.,
cbc:Name,0..1,NameType,,,The name of this financial institution.,
cac:Address,0..1,,Address,,The address of this financial institution.,
cac:ForecastException,,,,,"As explained in Exception Criteria Line: Three types of exception criteria can be defined, Operational, Metric or Forecast Exceptions. This class provides criteria for forecast exception type: the identification of the purpose of the forecast, the source of data and the time basis criteria for the exception.",
cbc:ForecastPurposeCode,1,CodeType,,,"It is either Sales forecast or Order Forecast. Definition can be changed like: ""The purpose of the Forecast (either sales or order), about which an exception criteria is being defined"".",
cbc:ForecastTypeCode,1,CodeType,,,A code signifying the type of forecast. Example of values are:BASE PROMOTIONAL SEASONAL TOTAL,
cbc:IssueDate,1,DateType,,,The date on which the forecast was issued.,
cbc:IssueTime,0..1,TimeType,,,The time at which the forecast was issued.,
cbc:DataSourceCode,1,CodeType,,,A code signifying the partner who provides this information.,
cbc:ComparisonDataCode,0..1,CodeType,,,A code signifying the partner providing the information in this forecast exception.,
cbc:ComparisonForecastIssueTime,0..1,TimeType,,,The time at which this comparison forecast was issued.,
cbc:ComparisonForecastIssueDate,0..1,DateType,,,The date on which this comparison forecast was issued.,
cac:ForecastExceptionCriterionLine,,,,,"Establishes the criterion for one of the three types of exceptions. This class provides criteria for the kind of forecast exception, the identification of the purpose of the forecast, the source of data and the time basis criterion for the exception.",
cbc:ForecastPurposeCode,1,CodeType,,,A description of the purpose for the forecast that is assigned to each forecast data item exception criterion.,
cbc:ForecastTypeCode,1,CodeType,,,A description of a Forecast selected from a list.,
cbc:ComparisonDataSourceCode,0..1,CodeType,,,"If it is a forecast comparison exception, this value indicates the other source of information.",
cbc:DataSourceCode,1,CodeType,,,Indication of the partner who provides the information.,
cbc:TimeDeltaDaysQuantity,0..1,QuantityType,,,Time basis in days for the Exception.,
cac:ForecastLine,,,,,Detailed information about a particular Forecast Line within a Forecast Document,
cbc:ID,1,IdentifierType,,,An identifier for this forecast line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:FrozenDocumentIndicator,0..1,IndicatorType,,,An indicator that the status of the forecast is modifiable (true) or not (false).,1
cbc:ForecastTypeCode,1,CodeType,,,A code signifying the type of forecast. Examples: BASE PROMOTIONAL SEASONAL TOTAL,"seasonal, total"
cac:ForecastPeriod,0..1,,Period,,The period to which the forecast applies.,
cac:SalesItem,0..1,,SalesItem,,Sales information for the item to which this line applies.,
cac:ForecastRevisionLine,,,,,A class to define a line in a Forecast Revision describing a revision to a line in a Forecast.,
cbc:ID,1,IdentifierType,,,An identifier for this forecast revision line.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:Description,0..n,TextType,,,Text describing the revision to this line.,
cbc:RevisedForecastLineID,1,IdentifierType,,,An identifier for the revised forecast line.,
cbc:SourceForecastIssueDate,1,DateType,,,The date on which the forecast modified by this revision was generated or created.,
cbc:SourceForecastIssueTime,1,TimeType,,,The time at which the forecast modified by this revision was generated or created.,
cbc:AdjustmentReasonCode,0..1,CodeType,,,A code signifying the reason for the adjustment specified in this forecast revision line.,
cac:ForecastPeriod,0..1,,Period,,The period to which this forecast revision line applies.,
cac:SalesItem,0..1,,SalesItem,,Sales information for the item to which this line applies.,
cac:FrameworkAgreement,,,,,A class to describe a tendering framework agreement.,
cbc:ExpectedOperatorQuantity,0..1,QuantityType,,,The number of economic operators expected to participate in this framework agreement.,
cbc:MaximumOperatorQuantity,0..1,QuantityType,,,The maximum number of economic operators allowed to participate in this framework agreement.,
cbc:Justification,0..n,TextType,,,Text describing the justification for this framework agreement.,
cbc:Frequency,0..n,TextType,,,Text describing the frequency with which subsequent contracts will be awarded.,
cac:DurationPeriod,0..1,,Period,,The period during which this framework agreement applies.,
cac:SubsequentProcessTenderRequirement,0..n,,TenderRequirement,,A tender requirement intended for consumption by downstream tendering processes derived from the establishment of this framework agreement.,Curricula required
cac:GoodsItem,,,,,A class to describe a separately identifiable quantity of goods of a single product type.,
cbc:ID,0..1,IdentifierType,,,An identifier for this goods item.,
cbc:SequenceNumberID,0..1,IdentifierType,,,A sequence number differentiating a specific goods item within a consignment.,
cbc:Description,0..n,TextType,,,"Text describing this goods item to identify it for customs, statistical, or transport purposes.",
cbc:HazardousRiskIndicator,0..1,IndicatorType,,,An indication that the transported goods item is subject to an international regulation concerning the carriage of dangerous goods (true) or not (false).,0
cbc:DeclaredCustomsValueAmount,0..1,AmountType,,,The total declared value for customs purposes of the goods item.,
cbc:DeclaredForCarriageValueAmount,0..1,AmountType,,,"The value of this goods item, declared by the shipper or his agent solely for the purpose of varying the carrier's level of liability from that provided in the contract of carriage, in case of loss or damage to goods or delayed delivery.",
cbc:DeclaredStatisticsValueAmount,0..1,AmountType,,,The total declared value of all the goods items in the same consignment with this goods item that have the same statistical heading.,
cbc:FreeOnBoardValueAmount,0..1,AmountType,,,The monetary amount that has to be or has been paid as calculated under the applicable trade delivery.,
cbc:InsuranceValueAmount,0..1,AmountType,,,The amount covered by insurance for this goods item.,
cbc:ValueAmount,0..1,AmountType,,,"The amount on which a duty, tax, or fee will be assessed.",
cbc:GrossWeightMeasure,0..1,MeasureType,,,"The weight of this goods item, including packing and packaging but excluding the carrier's equipment.",
cbc:NetWeightMeasure,0..1,MeasureType,,,"The weight of this goods item, excluding packing but including packaging that normally accompanies the goods.",
cbc:NetNetWeightMeasure,0..1,MeasureType,,,"The total weight of this goods item, excluding all packing and packaging.",
cbc:ChargeableWeightMeasure,0..1,MeasureType,,,The weight on which a charge is to be based.,
cbc:GrossVolumeMeasure,0..1,MeasureType,,,"The volume of this goods item, normally calculated by multiplying its maximum length, width, and height.",
cbc:NetVolumeMeasure,0..1,MeasureType,,,"The volume contained by a goods item, excluding the volume of any packaging material.",
cbc:Quantity,0..1,QuantityType,,,The number of units making up this goods item.,
cbc:PreferenceCriterionCode,0..1,CodeType,,,A code signifying the treatment preference for this goods item according to international trading agreements.,"Preference Criterion is used in the following manner in the paper CO of another country (e.g.): A - The good is wholly obtained or produced entirely in the territory of one or more of the NAFTA countries as reference in Article 415. Note: The purchase of a good in the territory does not necessarily render it wholly obtained or produced . If the good is an agricultural good, see also criterion F and Annex 703.2. (Reference: Article 401(a), 415). B - ... C - ... D - ... E - ... F - The good is an originating agricultural good under preference criterion A,B, or C above and is not subjected to quantitative restriction in the importing NAFTA country because.... Thus, the column Preference Criterion will indicate either A, B, C,..."
cbc:RequiredCustomsID,0..1,IdentifierType,,,"An identifier for a set of tariff codes required to specify a type of goods for customs, transport, statistical, or other regulatory purposes.",
cbc:CustomsStatusCode,0..1,CodeType,,,A code assigned by customs to signify the status of this goods item.,
cbc:CustomsTariffQuantity,0..1,QuantityType,,,"Quantity of the units in this goods item as required by customs for tariff, statistical, or fiscal purposes.",
cbc:CustomsImportClassifiedIndicator,0..1,IndicatorType,,,An indicator that this goods item has been classified for import by customs (true) or not (false).,1
cbc:ChargeableQuantity,0..1,QuantityType,,,The number of units in the goods item to which charges apply.,
cbc:ReturnableQuantity,0..1,QuantityType,,,The number of units in the goods item that may be returned.,
cbc:TraceID,0..1,IdentifierType,,,"An identifier for use in tracing this goods item, such as the EPC number used in RFID.",
